Sample in Buffer,Sample in Window,TRIGGER,ram_wr_en,ram_wr_we,ram_rd_en,rd_flag,ram_wr_addr[5:0],ram_wr_data[7:0],ram_rd_addr[5:0],ram_rd_data[7:0]
257,257,0,1,1,1,1,32,32,0,63
258,258,0,1,1,1,1,33,33,1,0
259,259,0,1,1,1,1,34,34,2,1
260,260,0,1,1,1,1,35,35,3,2
261,261,0,1,1,1,1,36,36,4,3
262,262,0,1,1,1,1,37,37,5,4
263,263,0,1,1,1,1,38,38,6,5
264,264,0,1,1,1,1,39,39,7,6
265,265,0,1,1,1,1,40,40,8,7
266,266,0,1,1,1,1,41,41,9,8
267,267,0,1,1,1,1,42,42,10,9
268,268,0,1,1,1,1,43,43,11,10
269,269,0,1,1,1,1,44,44,12,11
270,270,0,1,1,1,1,45,45,13,12
271,271,0,1,1,1,1,46,46,14,13
272,272,0,1,1,1,1,47,47,15,14
273,273,0,1,1,1,1,48,48,16,15
274,274,0,1,1,1,1,49,49,17,16
275,275,0,1,1,1,1,50,50,18,17
276,276,0,1,1,1,1,51,51,19,18
277,277,0,1,1,1,1,52,52,20,19
278,278,0,1,1,1,1,53,53,21,20
279,279,0,1,1,1,1,54,54,22,21
280,280,0,1,1,1,1,55,55,23,22
281,281,0,1,1,1,1,56,56,24,23
282,282,0,1,1,1,1,57,57,25,24
283,283,0,1,1,1,1,58,58,26,25
284,284,0,1,1,1,1,59,59,27,26
285,285,0,1,1,1,1,60,60,28,27
286,286,0,1,1,1,1,61,61,29,28
287,287,0,1,1,1,1,62,62,30,29
288,288,0,1,1,1,1,63,63,31,30
289,289,0,1,1,1,1,0,0,32,31
290,290,0,1,1,1,1,1,1,33,32
291,291,0,1,1,1,1,2,2,34,33
292,292,0,1,1,1,1,3,3,35,34
293,293,0,1,1,1,1,4,4,36,35
294,294,0,1,1,1,1,5,5,37,36
295,295,0,1,1,1,1,6,6,38,37
296,296,0,1,1,1,1,7,7,39,38
297,297,0,1,1,1,1,8,8,40,39
298,298,0,1,1,1,1,9,9,41,40
299,299,0,1,1,1,1,10,10,42,41
300,300,0,1,1,1,1,11,11,43,42
301,301,0,1,1,1,1,12,12,44,43
302,302,0,1,1,1,1,13,13,45,44
303,303,0,1,1,1,1,14,14,46,45
304,304,0,1,1,1,1,15,15,47,46
305,305,0,1,1,1,1,16,16,48,47
306,306,0,1,1,1,1,17,17,49,48
307,307,0,1,1,1,1,18,18,50,49
308,308,0,1,1,1,1,19,19,51,50
309,309,0,1,1,1,1,20,20,52,51
310,310,0,1,1,1,1,21,21,53,52
311,311,0,1,1,1,1,22,22,54,53
312,312,0,1,1,1,1,23,23,55,54
313,313,0,1,1,1,1,24,24,56,55
314,314,0,1,1,1,1,25,25,57,56
315,315,0,1,1,1,1,26,26,58,57
316,316,0,1,1,1,1,27,27,59,58
317,317,0,1,1,1,1,28,28,60,59
318,318,0,1,1,1,1,29,29,61,60
319,319,0,1,1,1,1,30,30,62,61
320,320,0,1,1,1,1,31,31,63,62
321,321,0,1,1,1,1,32,32,0,63
322,322,0,1,1,1,1,33,33,1,0
323,323,0,1,1,1,1,34,34,2,1
324,324,0,1,1,1,1,35,35,3,2
325,325,0,1,1,1,1,36,36,4,3
326,326,0,1,1,1,1,37,37,5,4
327,327,0,1,1,1,1,38,38,6,5
328,328,0,1,1,1,1,39,39,7,6
329,329,0,1,1,1,1,40,40,8,7
330,330,0,1,1,1,1,41,41,9,8
331,331,0,1,1,1,1,42,42,10,9
332,332,0,1,1,1,1,43,43,11,10
333,333,0,1,1,1,1,44,44,12,11
334,334,0,1,1,1,1,45,45,13,12
335,335,0,1,1,1,1,46,46,14,13
336,336,0,1,1,1,1,47,47,15,14
337,337,0,1,1,1,1,48,48,16,15
338,338,0,1,1,1,1,49,49,17,16
339,339,0,1,1,1,1,50,50,18,17
340,340,0,1,1,1,1,51,51,19,18
341,341,0,1,1,1,1,52,52,20,19
342,342,0,1,1,1,1,53,53,21,20
343,343,0,1,1,1,1,54,54,22,21
344,344,0,1,1,1,1,55,55,23,22
345,345,0,1,1,1,1,56,56,24,23
346,346,0,1,1,1,1,57,57,25,24
